[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:26] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:26] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:31] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:31] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:37] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:37] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:41] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:41] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:45] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:45] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:45] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:45] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:46] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:46] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:46] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:46] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:57] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:57] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:58] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:58] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:02] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:02] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:08] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:08] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:11] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:11] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:11] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:11] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:20:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
